"FECHA DE PUBLICACION","PILAR DE CONTENIDO","GANCHO (HOOK) 0-3 SEGUNDOS","CUERPO (PROBLEMA/SOLUCION)","LLAMADO A LA ACCION (CTA)","ESTADO"
"01/11/2026","Educación Urgente","¿Llevas 2 años en España sin papeles? Esto cambió en 2026.","El Arraigo para la Formación es ahora la vía más rápida. Solo necesitas un curso de 200h y carecer de penales. Te explico cómo evitar que te lo denieguen.","Ve al enlace de mi perfil, estudia tu viabilidad en la web y escríbenos a WhatsApp.","Por grabar"
"03/11/2026","Mitos vs Realidades","Mito: Necesitas un abogado carísimo y una cita previa imposible para tus papeles.","Realidad: La ley permite la representación telemática voluntaria. Nosotros revisamos tus papeles y los enviamos por Mercurio el mismo día sin citas previas.","Entra al link de nuestra biografía y asegura tu futuro hoy mismo.","Idea"
"05/11/2026","Casos de Éxito","Así conseguimos la residencia de Carlos en solo 45 días en Vigo.","Carlos llegó de Perú. Tenía los antecedentes a punto de caducar. Ordenamos su expediente en 24h, radicamos por Mercurio y ayer le llegó el favorable.","Si quieres que estudiemos tu caso con esta misma rapidez, haz clic en el link de nuestro perfil.","Guión escrito"
"08/11/2026","Educación Urgente","¡CUIDADO! Si eres colombiano, revisa esto antes de pedir asilo.","El asilo está tardando años y bloquea otras vías. Si ya cumples tiempos para arraigo, la estrategia debe ser otra. Te enseño cómo hacer el cambio.","¿Tienes dudas sobre tu caso? Entra al link de nuestro perfil para una asesoría de viabilidad legal.","Por grabar"
"10/11/2026","Autoridad / BTS","¿Por qué en Raíz tenemos 0% de expedientes rechazados?","No somos magos. Somos técnicos. Te muestro cómo es nuestra matriz de doble revisión. Si tu documento no pasa nuestra auditoría interna, no lo enviamos a Extranjería.","Si buscas seguridad total en tu trámite, ve al link de nuestro perfil y contáctanos.","Idea"
"12/11/2026","Ley de Nietos","Cubanos, Argentinos, Venezolanos... El tiempo se agota para la Ley de Nietos.","Si tienes ascendencia española, este es el momento de recopilar actas. El proceso consular es lento, pero nosotros te organizamos la carpeta desde España.","No pierdas esta oportunidad histórica. Toca el enlace del perfil.","Por grabar"
"15/11/2026","Mitos vs Realidades","¿Te piden empadronamiento de 3 años para el arraigo social? FALSO.","Esa ley es antigua. Hoy existen opciones a los 2 años. El verdadero problema son los vacíos en el padrón de más de 120 días. Te explico cómo cubrirlos.","Evalúa gratis tu viabilidad haciendo clic en el enlace de la bio.","Guión escrito"
"18/11/2026","Educación Urgente","¿Te han denegado la residencia? Aún tienes opciones.","Una denegación no es el fin del mundo. Se puede presentar un recurso de reposición o volver a armar el expediente subsanando el error. Te enseño los plazos.","Contáctanos urgente en el link del perfil para salvar tu expediente.","Por grabar"
"20/11/2026","Educación Urgente","Los 3 errores fatales al presentar los antecedentes penales.","1. Presentarlos caducados. 2. Sin la Apostilla de La Haya. 3. Sin la traducción jurada (si aplica). Evita que archiven tu expediente por esto.","Revisamos tus documentos antes de enviarlos. Link en la bio.","Idea"
"22/11/2026","Casos de Éxito","De estudiante a residente de trabajo: El caso de María.","María terminó su máster en Vigo. En lugar de regresar a Colombia, hicimos su modificación de estancia a residencia y trabajo por cuenta ajena. Ahora es residente.","Si estás estudiando en España y quieres quedarte, entra al link de nuestra bio.","Por grabar"
